T-value,learning_rate,accuracy,best_vloss,plot_path
0.05,0.001,39.1,1.6940913200378418,plots/20220328_003944.png
0.05,0.0001,57.78,1.1712135076522827,plots/20220328_005617.png
0.1,0.0001,59.15,1.155243158340454,plots/20220328_010206.png
1.0,0.0001,46.27,1.488089680671692,plots/20220328_010906.png
1.0,0.0005,58.44,1.1792073249816897,plots/20220328_011442.png
0.1,0.0005,58.69,1.2116553783416748,plots/20220328_012049.png
1.0,0.001,60.79,1.127055048942566,plots/20220328_012453.png
1.0,0.005,45.33,1.5879173278808594,plots/20220328_012952.png
5.0,0.0001,11.41,2.3005642890930176,plots/20220328_013436.png
5.0,0.001,58.02,1.1863869428634644,plots/20220328_013849.png
5.0,0.005,54.46,1.2741214036941528,plots/20220328_014323.png
5.0,0.01,42.43,1.5754199028015137,plots/20220328_014933.png
10.0,0.0001,9.49,2.301964282989502,plots/20220328_015408.png
10.0,0.001,53.33,1.3013708591461182,plots/20220328_015956.png
10.0,0.005,58.27,1.2078484296798706,plots/20220328_020434.png
10.0,0.01,49.64,1.4109188318252563,plots/20220328_021157.png
20.0,0.001,45.21,1.474596619606018,plots/20220328_021624.png
20.0,0.005,57.13,1.2281959056854248,plots/20220328_022044.png
20.0,0.01,51.98,1.3902339935302734,plots/20220328_022449.png
20.0,0.0001,10.0,2.30241060256958,plots/20220328_023200.png
30.0,0.0001,10.05,2.302555084228516,plots/20220328_023916.png
30.0,0.001,35.43,1.7341423034667969,plots/20220328_024518.png
30.0,0.005,58.46,1.1721627712249756,plots/20220328_025014.png
30.0,0.008,55.91,1.2746399641036987,plots/20220328_025418.png
30.0,0.01,55.19,1.3000285625457764,plots/20220328_025824.png
